BayesFactorCat,BayesFactorVal,Prior,Threshold,Correction,Type,Metric,Stat,Value
NA,NA,NA,NA,NA,All,Total_Traits,NA,1370.0
NA,NA,NA,NA,NA,All,Total_Genes,NA,19427.0
NA,NA,NA,NA,NA,All,Total_Loci,NA,118177.0
NA,NA,NA,NA,NA,All,Effective_Traits,galwey,207.92346355944431
Definitive,>= 3162.3,1.0,0.9696440069910772,NA,All,Effective_Traits,gao,249.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,All,Single_Gene_Loci,NA,46700.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,All,Top_Nearest_Gene_Loci,NA,47383.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,All,Genes_Per_Trait,mean,39.38394160583942
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,All,Genes_Per_Trait,std,115.65833791382829
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,All,Genes_Per_Trait,median,2.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,All,Genes_Per_Trait,q1,0.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,All,Genes_Per_Trait,q3,16.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,All,Genes_Per_Trait,plus_1,763.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,All,Genes_Per_Trait,exact_1,198.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,All,Genes_Per_Trait,at_least_1,961.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,All,Genes_Per_Trait,total,53956.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,All,Traits_Per_Gene,mean,11.10434245729574
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,All,Traits_Per_Gene,std,13.85820423908814
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,All,Traits_Per_Gene,median,6.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,All,Traits_Per_Gene,q1,2.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,All,Traits_Per_Gene,q3,14.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,All,Traits_Per_Gene,plus_1,4020.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,All,Traits_Per_Gene,exact_1,839.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,All,Traits_Per_Gene,at_least_1,4859.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,All,Traits_Per_Gene,total,53956.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Novel,Genes_Per_Trait,mean,37.93722627737226
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Novel,Genes_Per_Trait,std,112.35633032708587
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Novel,Genes_Per_Trait,median,2.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Novel,Genes_Per_Trait,q1,0.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Novel,Genes_Per_Trait,q3,15.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Novel,Genes_Per_Trait,plus_1,746.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Novel,Genes_Per_Trait,exact_1,195.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Novel,Genes_Per_Trait,at_least_1,941.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Novel,Genes_Per_Trait,total,51974.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Novel,Traits_Per_Gene,mean,10.725134131242262
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Novel,Traits_Per_Gene,std,13.231142045307914
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Novel,Traits_Per_Gene,median,6.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Novel,Traits_Per_Gene,q1,2.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Novel,Traits_Per_Gene,q3,14.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Novel,Traits_Per_Gene,plus_1,3990.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Novel,Traits_Per_Gene,exact_1,856.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Novel,Traits_Per_Gene,at_least_1,4846.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Novel,Traits_Per_Gene,total,51974.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Repurposable,Genes_Per_Trait,mean,3.4160583941605838
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Repurposable,Genes_Per_Trait,std,10.09281187861084
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Repurposable,Genes_Per_Trait,median,0.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Repurposable,Genes_Per_Trait,q1,0.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Repurposable,Genes_Per_Trait,q3,2.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Repurposable,Genes_Per_Trait,plus_1,352.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Repurposable,Genes_Per_Trait,exact_1,165.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Repurposable,Genes_Per_Trait,at_least_1,517.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Repurposable,Genes_Per_Trait,total,4680.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Repurposable,Traits_Per_Gene,mean,11.470588235294118
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Repurposable,Traits_Per_Gene,std,14.14782314188226
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Repurposable,Traits_Per_Gene,median,6.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Repurposable,Traits_Per_Gene,q1,3.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Repurposable,Traits_Per_Gene,q3,15.25
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Repurposable,Traits_Per_Gene,plus_1,338.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Repurposable,Traits_Per_Gene,exact_1,70.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Repurposable,Traits_Per_Gene,at_least_1,408.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Repurposable,Traits_Per_Gene,total,4680.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical,Genes_Per_Trait,mean,0.4153284671532847
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical,Genes_Per_Trait,std,1.9044086581836377
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical,Genes_Per_Trait,median,0.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical,Genes_Per_Trait,q1,0.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical,Genes_Per_Trait,q3,0.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical,Genes_Per_Trait,plus_1,96.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical,Genes_Per_Trait,exact_1,97.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical,Genes_Per_Trait,at_least_1,193.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical,Genes_Per_Trait,total,569.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical,Traits_Per_Gene,mean,3.2329545454545454
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical,Traits_Per_Gene,std,3.3957266457239075
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical,Traits_Per_Gene,median,2.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical,Traits_Per_Gene,q1,1.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical,Traits_Per_Gene,q3,4.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical,Traits_Per_Gene,plus_1,102.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical,Traits_Per_Gene,exact_1,74.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical,Traits_Per_Gene,at_least_1,176.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical,Traits_Per_Gene,total,569.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_APPROVAL,Genes_Per_Trait,mean,0.12335766423357664
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_APPROVAL,Genes_Per_Trait,std,0.6728046509601938
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_APPROVAL,Genes_Per_Trait,median,0.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_APPROVAL,Genes_Per_Trait,q1,0.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_APPROVAL,Genes_Per_Trait,q3,0.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_APPROVAL,Genes_Per_Trait,plus_1,32.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_APPROVAL,Genes_Per_Trait,exact_1,59.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_APPROVAL,Genes_Per_Trait,at_least_1,91.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_APPROVAL,Genes_Per_Trait,total,169.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_APPROVAL,Traits_Per_Gene,mean,2.2837837837837838
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_APPROVAL,Traits_Per_Gene,std,2.063323678412865
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_APPROVAL,Traits_Per_Gene,median,1.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_APPROVAL,Traits_Per_Gene,q1,1.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_APPROVAL,Traits_Per_Gene,q3,3.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_APPROVAL,Traits_Per_Gene,plus_1,34.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_APPROVAL,Traits_Per_Gene,exact_1,40.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_APPROVAL,Traits_Per_Gene,at_least_1,74.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_APPROVAL,Traits_Per_Gene,total,169.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_1,Genes_Per_Trait,mean,0.016058394160583942
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_1,Genes_Per_Trait,std,0.14710519432012395
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_1,Genes_Per_Trait,median,0.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_1,Genes_Per_Trait,q1,0.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_1,Genes_Per_Trait,q3,0.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_1,Genes_Per_Trait,plus_1,2.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_1,Genes_Per_Trait,exact_1,17.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_1,Genes_Per_Trait,at_least_1,19.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_1,Genes_Per_Trait,total,22.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_1,Traits_Per_Gene,mean,1.2941176470588236
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_1,Traits_Per_Gene,std,0.9557692240748189
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_1,Traits_Per_Gene,median,1.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_1,Traits_Per_Gene,q1,1.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_1,Traits_Per_Gene,q3,1.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_1,Traits_Per_Gene,plus_1,2.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_1,Traits_Per_Gene,exact_1,15.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_1,Traits_Per_Gene,at_least_1,17.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_1,Traits_Per_Gene,total,22.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_2_3,Genes_Per_Trait,mean,0.017518248175182483
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_2_3,Genes_Per_Trait,std,0.1940343149044384
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_2_3,Genes_Per_Trait,median,0.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_2_3,Genes_Per_Trait,q1,0.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_2_3,Genes_Per_Trait,q3,0.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_2_3,Genes_Per_Trait,plus_1,5.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_2_3,Genes_Per_Trait,exact_1,11.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_2_3,Genes_Per_Trait,at_least_1,16.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_2_3,Genes_Per_Trait,total,24.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_2_3,Traits_Per_Gene,mean,1.411764705882353
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_2_3,Traits_Per_Gene,std,0.6910200073218077
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_2_3,Traits_Per_Gene,median,1.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_2_3,Traits_Per_Gene,q1,1.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_2_3,Traits_Per_Gene,q3,2.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_2_3,Traits_Per_Gene,plus_1,5.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_2_3,Traits_Per_Gene,exact_1,12.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_2_3,Traits_Per_Gene,at_least_1,17.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_2_3,Traits_Per_Gene,total,24.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Effector,Genes_Per_Trait,mean,1.0313868613138686
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Effector,Genes_Per_Trait,std,8.148783007294607
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Effector,Genes_Per_Trait,median,0.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Effector,Genes_Per_Trait,q1,0.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Effector,Genes_Per_Trait,q3,0.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Effector,Genes_Per_Trait,plus_1,73.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Effector,Genes_Per_Trait,exact_1,32.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Effector,Genes_Per_Trait,at_least_1,105.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Effector,Genes_Per_Trait,total,1413.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Effector,Traits_Per_Gene,mean,2.9498956158663883
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Effector,Traits_Per_Gene,std,2.3085560629050725
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Effector,Traits_Per_Gene,median,2.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Effector,Traits_Per_Gene,q1,1.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Effector,Traits_Per_Gene,q3,4.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Effector,Traits_Per_Gene,plus_1,322.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Effector,Traits_Per_Gene,exact_1,157.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Effector,Traits_Per_Gene,at_least_1,479.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Effector,Traits_Per_Gene,total,1413.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_3,Genes_Per_Trait,mean,0.12043795620437957
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_3,Genes_Per_Trait,std,0.7102624873207742
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_3,Genes_Per_Trait,median,0.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_3,Genes_Per_Trait,q1,0.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_3,Genes_Per_Trait,q3,0.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_3,Genes_Per_Trait,plus_1,28.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_3,Genes_Per_Trait,exact_1,56.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_3,Genes_Per_Trait,at_least_1,84.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_3,Genes_Per_Trait,total,165.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_3,Traits_Per_Gene,mean,2.22972972972973
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_3,Traits_Per_Gene,std,1.7671728627822407
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_3,Traits_Per_Gene,median,2.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_3,Traits_Per_Gene,q1,1.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_3,Traits_Per_Gene,q3,3.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_3,Traits_Per_Gene,plus_1,39.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_3,Traits_Per_Gene,exact_1,35.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_3,Traits_Per_Gene,at_least_1,74.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_3,Traits_Per_Gene,total,165.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_2,Genes_Per_Trait,mean,0.10437956204379562
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_2,Genes_Per_Trait,std,0.5376847654783846
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_2,Genes_Per_Trait,median,0.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_2,Genes_Per_Trait,q1,0.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_2,Genes_Per_Trait,q3,0.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_2,Genes_Per_Trait,plus_1,27.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_2,Genes_Per_Trait,exact_1,56.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_2,Genes_Per_Trait,at_least_1,83.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_2,Genes_Per_Trait,total,143.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_2,Traits_Per_Gene,mean,1.881578947368421
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_2,Traits_Per_Gene,std,1.4864927395786178
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_2,Traits_Per_Gene,median,1.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_2,Traits_Per_Gene,q1,1.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_2,Traits_Per_Gene,q3,2.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_2,Traits_Per_Gene,plus_1,34.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_2,Traits_Per_Gene,exact_1,42.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_2,Traits_Per_Gene,at_least_1,76.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_2,Traits_Per_Gene,total,143.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_1_2,Genes_Per_Trait,mean,0.012408759124087591
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_1_2,Genes_Per_Trait,std,0.12897419844636981
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_1_2,Genes_Per_Trait,median,0.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_1_2,Genes_Per_Trait,q1,0.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_1_2,Genes_Per_Trait,q3,0.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_1_2,Genes_Per_Trait,plus_1,1.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_1_2,Genes_Per_Trait,exact_1,14.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_1_2,Genes_Per_Trait,at_least_1,15.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_1_2,Genes_Per_Trait,total,17.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_1_2,Traits_Per_Gene,mean,1.2142857142857142
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_1_2,Traits_Per_Gene,std,0.5578749768504754
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_1_2,Traits_Per_Gene,median,1.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_1_2,Traits_Per_Gene,q1,1.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_1_2,Traits_Per_Gene,q3,1.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_1_2,Traits_Per_Gene,plus_1,2.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_1_2,Traits_Per_Gene,exact_1,12.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_1_2,Traits_Per_Gene,at_least_1,14.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_PHASE_1_2,Traits_Per_Gene,total,17.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_UNKNOWN,Genes_Per_Trait,mean,0.021167883211678833
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_UNKNOWN,Genes_Per_Trait,std,0.2167883211678832
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_UNKNOWN,Genes_Per_Trait,median,0.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_UNKNOWN,Genes_Per_Trait,q1,0.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_UNKNOWN,Genes_Per_Trait,q3,0.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_UNKNOWN,Genes_Per_Trait,plus_1,4.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_UNKNOWN,Genes_Per_Trait,exact_1,16.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_UNKNOWN,Genes_Per_Trait,at_least_1,20.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_UNKNOWN,Genes_Per_Trait,total,29.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_UNKNOWN,Traits_Per_Gene,mean,1.5263157894736843
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_UNKNOWN,Traits_Per_Gene,std,0.6781104593013224
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_UNKNOWN,Traits_Per_Gene,median,1.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_UNKNOWN,Traits_Per_Gene,q1,1.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_UNKNOWN,Traits_Per_Gene,q3,2.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_UNKNOWN,Traits_Per_Gene,plus_1,8.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_UNKNOWN,Traits_Per_Gene,exact_1,11.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_UNKNOWN,Traits_Per_Gene,at_least_1,19.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Raw,Clinical_UNKNOWN,Traits_Per_Gene,total,29.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Bias_adjusted,All,Genes_Per_Trait,mean,4.424416449167396
Definitive,>= 3162.3,1.0,0.9696440069910772,Bias_adjusted,All,Genes_Per_Trait,std,17.89556120118904
Definitive,>= 3162.3,1.0,0.9696440069910772,Bias_adjusted,All,Genes_Per_Trait,median,0.188172136837847
Definitive,>= 3162.3,1.0,0.9696440069910772,Bias_adjusted,All,Genes_Per_Trait,q1,0.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Bias_adjusted,All,Genes_Per_Trait,q3,1.3093634122775968
Definitive,>= 3162.3,1.0,0.9696440069910772,Bias_adjusted,All,Genes_Per_Trait,plus_1,376.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Bias_adjusted,All,Genes_Per_Trait,exact_1,0.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Bias_adjusted,All,Genes_Per_Trait,at_least_1,927.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Bias_adjusted,All,Genes_Per_Trait,total,6061.450535359332
Definitive,>= 3162.3,1.0,0.9696440069910772,Bias_adjusted,All,Traits_Per_Gene,mean,1.2474687251202576
Definitive,>= 3162.3,1.0,0.9696440069910772,Bias_adjusted,All,Traits_Per_Gene,std,1.6492829474010025
Definitive,>= 3162.3,1.0,0.9696440069910772,Bias_adjusted,All,Traits_Per_Gene,median,0.6676861885672506
Definitive,>= 3162.3,1.0,0.9696440069910772,Bias_adjusted,All,Traits_Per_Gene,q1,0.20351771350626185
Definitive,>= 3162.3,1.0,0.9696440069910772,Bias_adjusted,All,Traits_Per_Gene,q3,1.618019445462655
Definitive,>= 3162.3,1.0,0.9696440069910772,Bias_adjusted,All,Traits_Per_Gene,plus_1,1878.0
Definitive,>= 3162.3,1.0,0.9696440069910772,Bias_adjusted,All,Traits_Per_Gene,exact_1,0.0
